rank,app_name,category,pricing,avg_rating,hybrid_score,cf_score,nlp_score,content_score,hidden_gem
1,Speak English with Loora AI,Generative Text / Chatbots,Freemium,4.92,0.855,1.0,0.8,0.5,
2,ReadEra – book reader pdf epub,Productivity AI,Free,4.84,0.8491,0.976,0.818,0.5,
3,Email Writer: AI Generator,Generative Text / Chatbots,Free,4.81,0.8394,0.779,0.928,0.5,💎
4,PDF AI: Document Summarizer,Productivity AI,Freemium,4.6,0.8388,0.728,1.0,0.5,💎
5,AI Code Generator,AI Coding Assistants,Freemium,4.85,0.8365,0.733,0.985,0.5,💎
6,AR Drawing Paint Sketch Trace,Image Generation,Freemium,4.87,0.8356,0.943,0.826,0.5,
7,AI Python Code Generator,AI Coding Assistants,Freemium,4.21,0.8344,0.727,0.988,0.5,💎
8,"AI Email, Reply Writer: Xemail",Generative Text / Chatbots,Freemium,4.75,0.834,0.904,0.877,0.5,
9,AnkiDroid Flashcards,Productivity AI,Free,4.85,0.8284,0.967,0.77,0.5,
10,AI HTML Code Generator,AI Coding Assistants,Freemium,4.64,0.8253,0.731,0.957,0.5,💎
11,AI Description Generator,Marketing AI,Freemium,4.91,0.8222,0.731,0.947,0.5,💎
12,Product Plus: AI Product Photo,Marketing AI,Freemium,5.0,0.8189,0.73,0.94,0.5,💎
13,Google NotebookLM,Generative Text / Chatbots,Free,4.81,0.8173,0.952,0.762,0.5,
14,Gauth: AI Study Companion,Productivity AI,Freemium,4.78,0.8168,0.952,0.759,0.5,
15,Suno - AI Music & Songs,Marketing AI,Freemium,4.84,0.8167,0.976,0.724,0.5,
16,AI Chat Assistant - Mosaic 5.0,AI Coding Assistants,Freemium,4.29,0.8156,0.727,0.934,0.5,💎
17,AI Photo Editor - Polish,Image Generation,Freemium,4.81,0.8137,0.963,0.734,0.5,
18,GoMind AI: AI Tasks & Notes,Productivity AI,Free,4.7,0.8119,0.728,0.922,0.5,💎
19,"Daily AI Writer: Email, Letter",Generative Text / Chatbots,Freemium,4.57,0.8091,0.739,0.899,0.5,💎
20,"N Calendar: Planner, Schedule",Productivity AI,Freemium,4.82,0.8089,0.903,0.807,0.5,
21,Book writer AI,Generative Text / Chatbots,Freemium,4.79,0.8065,0.733,0.9,0.5,💎
22,Thea: Study Smart,Productivity AI,Freemium,4.79,0.8046,0.824,0.907,0.5,
23,AI Photo Editor - Lumii,Image Generation,Freemium,4.77,0.8041,0.945,0.733,0.5,
24,AI Copy - Write Essay & Email,Marketing AI,Freemium,4.54,0.8004,0.771,0.828,0.5,💎
25,"Photo Editor: Retouch, Enhance",Image Generation,Freemium,4.7,0.7998,0.901,0.784,0.5,
26,Bizplanr- AI Business Planner,Marketing AI,Free,4.14,0.7996,0.727,0.889,0.5,💎
27,QuickMail : AI Email Writer,Generative Text / Chatbots,Free,4.8,0.7992,0.732,0.881,0.5,💎
28,Task Agenda Calendar & Planner,Productivity AI,Freemium,4.67,0.7976,0.874,0.816,0.5,
29,DreamFace: AI Video Generator,Image Generation,Freemium,4.82,0.7951,0.962,0.683,0.5,
30,Voice to Text: AI Transcribe,Productivity AI,Freemium,4.76,0.7948,0.733,0.867,0.5,💎
